CuisineType,RestaurantID,RestaurantName,Segment,Subregion,GrowthFactor,AOV,MonthlyOrders,InStoreOrders,InStoreRevenue,UberEatsOrders,DoorDashOrders,SelfDeliveryOrders,UberEatsRevenue,DoorDashRevenue,SelfDeliveryRevenue,COGSRate,OPEXRate,CommissionRate,DeliveryRadiusKM,DeliveryCostPerOrder,SD_DeliveryTotalCost,InStoreNetProfit,UberEatsNetProfit,DoorDashNetProfit,SelfDeliveryNetProfit,InStoreShare,UE_share,DD_share,SD_share,TotalRevenue,TotalProfit,ProfitMargin,AggregatorDependence,CostBurden,RevenueQuality,Raw_Scale_Signal,Expansion_Headroom,Cluster,GPI,GPI_Category,Cluster_Label,Recommendation
Burgers,25731,Urban Burgers House,Cafe,North Shore,1.03,43.97,668,197,8662.09,212,118,141,9321.64,5188.46,6199.77,0.208741431,0.366171811,0.28,11,3.25,458.25,3682.14,1352.45,752.78,2177.19,0.42,0.45,0.25,0.3,29372.0,7965.0,0.2711766308048481,0.7,0.574913242,11.923636456489174,688.04,11.33,1,0.8628429628226704,High Potential,Stable Local Performers,Hold/Stabilize
Burgers,25123,Urban Burgers Diner,QSR,South Auckland,1.05,40.45,1388,259,10476.55,508,282,339,20548.6,11406.9,13712.55,0.248216603,0.407612904,0.28,16,4.72,1600.08,3605.72,1318.61,731.99,3119.38,0.23,0.45,0.25,0.3,56145.0,8776.0,0.1563095556149256,0.7,0.655829507,6.322721524623742,1457.4,16.8,0,0.7999025295322711,High Potential,Growth Leaders,Expand
Burgers,25177,King Burgers Eatery,Cafe,West Auckland,1.04,40.03,1717,524,20975.72,537,298,358,21496.11,11928.94,14330.74,0.219687956,0.407931714,0.3,11,3.25,1163.5,7810.95,1555.9,863.42,4172.99,0.44,0.45,0.25,0.3,68732.0,14403.0,0.2095530466158412,0.7,0.62761967,8.388408456032124,1785.68,11.44,0,0.64037210243919,High Potential,Growth Leaders,Expand
Burgers,25540,Classic Burgers Tavern,QSR,North Shore,1.03,36.28,1083,216,7836.48,390,217,260,14149.2,7872.76,9432.8,0.237290997,0.437815106,0.33,3,0.89,231.4,2546.02,-72.25,-40.2,2833.26,0.25,0.45,0.25,0.3,39291.0,5267.0,0.1340510549489705,0.7,0.6751061030000001,4.8633722735486495,1115.49,3.09,1,-0.28358036052776847,Low Potential,Stable Local Performers,Hold/Stabilize
Burgers,25258,Lucky Burgers Bistro,Cafe,South Auckland,1.05,34.34,1230,261,8962.74,436,242,291,14972.24,8310.28,9992.94,0.221437568,0.433456664,0.33,9,2.66,774.06,3093.09,226.17,125.53,2674.56,0.27,0.45,0.25,0.3,42238.0,6119.0,0.1448695487475732,0.7,0.654894232,4.974820303991667,1291.5,9.45,0,0.3060982964436951,Medium Potential,Growth Leaders,Expand
Burgers,26138,King Burgers Kitchen,QSR,North Shore,1.03,36.88,827,160,5900.8,300,167,200,11064.0,6158.96,7376.0,0.265131495,0.395680022,0.29,13,3.84,768.0,2001.48,544.22,302.95,1733.85,0.24,0.45,0.25,0.3,30500.0,4582.0,0.1502295081967213,0.7,0.660811517,5.540464262295083,851.8100000000001,13.39,1,0.3398310986696109,High Potential,Stable Local Performers,Hold/Stabilize
Burgers,25396,Urban Burgers Eatery,QSR,South Auckland,1.05,46.32,881,176,8152.32,317,176,212,14683.44,8152.32,9819.84,0.224100139,0.372992298,0.28,7,2.07,438.84,3284.63,1804.71,1001.98,3517.65,0.25,0.45,0.25,0.3,40808.0,9609.0,0.2354685355812585,0.7,0.597092437,10.906902568123895,925.05,7.35,1,0.7336344689066668,High Potential,Stable Local Performers,Hold/Stabilize
Burgers,25087,Urban Burgers Tavern,Ghost Kitchen,CBD,0.99,34.74,800,72,2501.28,328,182,218,11394.72,6322.68,7573.32,0.285647805,0.293128232,0.31,18,5.31,1157.58,1053.6,1267.37,703.23,2032.48,0.1,0.45,0.25,0.3,27792.0,5057.0,0.1819588370754173,0.7,0.5787760369999999,6.32125,792.0,17.82,1,0.2503973527506644,Medium Potential,Stable Local Performers,Hold/Stabilize
Burgers,25125,Classic Burgers Tavern,Cafe,CBD,0.99,32.79,612,152,4984.08,207,115,138,6787.53,3770.85,4525.02,0.279599561,0.375583385,0.3,8,2.36,325.68,1718.6,304.2,169.0,1234.62,0.33,0.45,0.25,0.3,20067.0,3426.0,0.1707280609956645,0.7,0.655182946,5.598173120047839,605.88,7.92,1,-0.3432800469655345,Low Potential,Stable Local Performers,Hold/Stabilize
Burgers,25762,Lucky Burgers Cafe,QSR,South Auckland,1.05,36.07,572,128,4616.96,200,111,133,7214.0,4003.77,4797.31,0.220322184,0.430256453,0.27,11,3.25,432.25,1613.26,572.95,317.98,1244.03,0.29,0.45,0.25,0.3,20632.0,3748.0,0.1816595579682047,0.7,0.650578637,6.552460255913145,600.6,11.55,1,0.5897722079010149,High Potential,Stable Local Performers,Hold/Stabilize
Burgers,25009,Lucky Burgers Eatery,Cafe,South Auckland,1.05,45.34,1036,274,12423.16,343,190,229,15551.62,8614.6,10382.86,0.267623493,0.392365171,0.31,13,3.84,879.36,4224.02,466.72,258.54,2650.93,0.36,0.45,0.25,0.3,46972.0,7600.0,0.1617985182662011,0.7,0.659988664,7.33594481818956,1087.8,13.65,0,0.7019234966767609,High Potential,Growth Leaders,Expand
Burgers,25107,King Burgers Eatery,Ghost Kitchen,CBD,0.99,42.53,953,62,2636.86,401,223,267,17054.53,9484.19,11355.51,0.260719021,0.292267443,0.29,10,2.95,787.65,1178.71,2677.79,1489.15,4288.42,0.07,0.45,0.25,0.3,40531.0,9634.0,0.2376946041301719,0.7,0.552986464,10.109151513656212,943.47,9.9,1,0.16812415062974162,Medium Potential,Stable Local Performers,Hold/Stabilize
Burgers,25352,King Burgers Bistro,Ghost Kitchen,North Shore,1.03,31.83,1354,100,3183.0,564,314,376,17952.12,9994.62,11968.08,0.259987647,0.224010411,0.33,15,4.43,1665.68,1642.43,3339.13,1859.02,4509.87,0.08,0.45,0.25,0.3,43098.0,11350.0,0.2633532878555849,0.7,0.4839980579999999,8.382535152443268,1394.62,15.45,0,0.8635425547833075,High Potential,Growth Leaders,Expand
Burgers,25255,Urban Burgers Diner,Cafe,North Shore,1.03,37.65,1511,302,11370.3,544,302,363,20481.6,11370.3,13666.95,0.210879623,0.369592107,0.28,16,4.72,1713.36,4770.16,2857.76,1586.48,4020.31,0.25,0.45,0.25,0.3,56889.0,13235.0,0.2326460299882226,0.7,0.58047173,8.759123029056584,1556.33,16.48,0,0.8713483019489108,High Potential,Growth Leaders,Expand
Burgers,26270,Top Burgers Diner,Ghost Kitchen,CBD,0.99,42.95,1382,53,2276.35,598,332,399,25684.1,14259.4,17137.05,0.259372561,0.309947346,0.29,18,5.31,2118.69,980.38,3613.24,2006.01,5261.9,0.04,0.45,0.25,0.3,59357.0,11862.0,0.1998416362012905,0.7,0.569319907,8.583198274845428,1368.18,17.82,0,0.41891933113802154,High Potential,Growth Leaders,Expand
Burgers,25612,Classic Burgers Bistro,QSR,South Auckland,1.05,45.49,998,193,8779.57,362,201,242,16467.38,9143.49,11008.58,0.253722506,0.430719664,0.28,4,1.18,285.56,2770.46,585.54,325.12,3188.28,0.24,0.45,0.25,0.3,45399.0,6869.0,0.151302892134188,0.7,0.6844421700000001,6.882768563184212,1047.9,4.2,1,0.14921236772621066,Medium Potential,Stable Local Performers,Hold/Stabilize
Burgers,25436,Classic Burgers Tavern,Full-service,North Shore,1.03,42.97,718,242,10398.74,214,119,143,9195.58,5113.43,6144.71,0.36893942,0.501108689,0.32,8,2.36,337.48,1351.34,-1747.6,-971.8,461.04,0.51,0.45,0.25,0.3,30852.0,-907.0,-0.0293984182548943,0.7,0.8700481090000001,-1.2632500324128095,739.54,8.24,2,-0.722157795398859,Low Potential,Aggregator-dependent Low Margin,Optimize
Burgers,25260,Classic Burgers Cafe,Full-service,West Auckland,1.04,32.34,2051,646,20891.64,632,351,422,20438.88,11351.34,13647.48,0.373705843,0.465107345,0.28,13,3.84,1620.48,3367.46,-2428.41,-1348.69,579.31,0.46,0.45,0.25,0.3,66329.0,170.0,0.0025629815013041,0.7,0.838813188,0.0828868217521747,2133.04,13.52,2,-0.18281433066489627,Medium Potential,Aggregator-dependent Low Margin,Optimize
Burgers,25452,Lucky Burgers Kitchen,Cafe,CBD,0.99,30.92,1308,324,10018.08,443,246,295,13697.56,7606.32,9121.4,0.230996016,0.373214837,0.31,11,3.25,958.75,3965.05,1175.1,652.54,2651.4,0.33,0.45,0.25,0.3,40443.0,8444.0,0.2087876764829513,0.7,0.604210853,6.455714956852855,1294.92,10.89,0,-0.05136882027807725,Medium Potential,Growth Leaders,Expand
Burgers,25319,King Burgers Diner,Cafe,West Auckland,1.04,45.6,799,184,8390.4,277,154,184,12631.2,7022.4,8390.4,0.279372675,0.399700685,0.29,15,4.43,815.12,2692.7,390.64,217.18,1877.58,0.3,0.45,0.25,0.3,36434.0,5178.0,0.1421199978042487,0.7,0.6790733600000001,6.4806718998737445,830.96,15.6,1,0.603131511222128,High Potential,Stable Local Performers,Hold/Stabilize
Burgers,25132,Lucky Burgers Tavern,Ghost Kitchen,CBD,0.99,36.56,897,42,1535.52,385,214,256,14075.6,7823.84,9359.36,0.294071698,0.265251148,0.3,18,5.31,1359.36,676.67,1980.12,1100.64,2765.1,0.05,0.45,0.25,0.3,32794.0,6523.0,0.1989083368908946,0.7,0.5593228459999999,7.27208879673111,888.03,17.82,1,0.34227627420807216,High Potential,Stable Local Performers,Hold/Stabilize
Burgers,26489,Classic Burgers Cafe,Cafe,West Auckland,1.04,36.49,1640,468,17077.32,527,293,352,19230.23,10691.57,12844.48,0.22605615,0.371622992,0.3,16,4.72,1661.44,6870.56,1967.65,1093.97,3506.16,0.4,0.45,0.25,0.3,59844.0,13438.0,0.2245504979613662,0.7,0.597679142,8.193847670610253,1705.6,16.64,0,0.9398335791328706,High Potential,Growth Leaders,Expand
Burgers,25040,Lucky Burgers Grill,QSR,North Shore,1.03,41.72,1452,299,12474.28,519,288,346,21652.68,12015.36,14435.12,0.248099703,0.389124023,0.32,18,5.31,1837.26,4525.37,926.22,513.97,3399.46,0.26,0.45,0.25,0.3,60577.0,9365.0,0.1545966290836456,0.7,0.637223726,6.449771365369695,1495.56,18.54,0,0.6756932387735528,High Potential,Growth Leaders,Expand
Burgers,25502,Top Burgers Grill,Cafe,West Auckland,1.04,34.21,899,207,7081.47,311,173,208,10639.31,5918.33,7115.68,0.247309529,0.350396152,0.31,3,0.89,185.12,2848.84,981.95,546.23,2677.48,0.3,0.45,0.25,0.3,30755.0,7054.0,0.2293610794992684,0.7,0.597705681,7.846442529669972,934.96,3.12,1,0.21041412055004483,Medium Potential,Stable Local Performers,Hold/Stabilize
Burgers,25889,Top Burgers Bistro,QSR,North Shore,1.03,40.18,1334,231,9281.58,496,276,331,19929.28,11089.68,13299.58,0.238772939,0.433020328,0.31,17,5.02,1661.62,3046.28,362.85,201.91,2703.39,0.21,0.45,0.25,0.3,53600.0,6314.0,0.1177985074626865,0.7,0.671793267,4.733144029850746,1374.02,17.51,0,0.4411105176699576,High Potential,Growth Leaders,Expand
Burgers,25283,Urban Burgers Grill,Cafe,South Auckland,1.05,42.16,571,151,6366.16,189,105,126,7968.24,4426.8,5312.16,0.276084447,0.441550264,0.29,4,1.18,148.68,1797.58,-60.84,-33.8,1351.29,0.36,0.45,0.25,0.3,24073.0,3054.0,0.1268641216300419,0.7,0.7176347110000001,5.348591367922569,599.5500000000001,4.2,1,0.00745485867225254,Medium Potential,Stable Local Performers,Hold/Stabilize
Burgers,25366,Classic Burgers Tavern,Full-service,West Auckland,1.04,45.99,701,214,9841.86,219,122,146,10071.81,5610.78,6714.54,0.392565074,0.450436521,0.27,4,1.18,172.28,1545.16,-1138.13,-634.03,881.89,0.44,0.45,0.25,0.3,32239.0,655.0,0.0203170073513446,0.7,0.843001595,0.9343791680883404,729.0400000000001,4.16,2,-0.5935241815271272,Low Potential,Aggregator-dependent Low Margin,Optimize
Burgers,25247,Lucky Burgers Kitchen,Cafe,South Auckland,1.05,34.73,1151,304,10557.92,381,212,254,13232.13,7362.76,8821.42,0.201390176,0.416730786,0.31,5,1.48,375.92,4031.85,951.11,529.23,2992.8,0.36,0.45,0.25,0.3,39974.0,8505.0,0.2127632961424926,0.7,0.618120962,7.389269275028768,1208.55,5.25,1,0.37105130498476263,High Potential,Stable Local Performers,Hold/Stabilize
Burgers,25004,King Burgers Cafe,Ghost Kitchen,South Auckland,1.05,34.64,1629,106,3671.84,685,381,457,23728.4,13197.84,15830.48,0.259387835,0.336022477,0.32,18,5.31,2426.67,1485.59,2007.18,1116.4,3978.18,0.07,0.45,0.25,0.3,56429.0,8587.0,0.1521735277959914,0.7,0.595410312,5.271291002853142,1710.45,18.9,0,0.8427788014546506,High Potential,Growth Leaders,Expand
Burgers,25853,Classic Burgers Tavern,Ghost Kitchen,CBD,0.99,31.34,1519,72,2256.48,651,362,434,20402.34,11345.08,13601.56,0.272829318,0.31957067,0.32,5,1.48,642.32,919.74,1787.25,993.83,4901.68,0.05,0.45,0.25,0.3,47605.0,8602.0,0.1806953051150089,0.7,0.5923999879999999,5.66299086230438,1503.81,4.95,0,-0.47561403369339683,Low Potential,Growth Leaders,Expand
Burgers,25005,Classic Burgers Bistro,Ghost Kitchen,South Auckland,1.05,39.35,1305,85,3344.75,549,305,366,21603.15,12001.75,14402.1,0.285651653,0.280214195,0.3,9,2.66,973.56,1452.07,2897.72,1609.84,5278.88,0.07,0.45,0.25,0.3,51352.0,11239.0,0.2188619722698239,0.7,0.5658658480000001,8.612218608817573,1370.25,9.45,0,0.6779928322199765,High Potential,Growth Leaders,Expand
Burgers,25077,Lucky Burgers House,Cafe,CBD,0.99,39.76,1641,378,15029.28,568,316,379,22583.68,12564.16,15069.04,0.211968362,0.366120141,0.31,14,4.13,1565.27,6341.03,2527.37,1406.07,4792.53,0.3,0.45,0.25,0.3,65246.0,15067.0,0.2309260337798485,0.7,0.578088503,9.18161910308678,1624.59,13.86,0,0.31128180332436317,Medium Potential,Growth Leaders,Expand
Burgers,25856,Top Burgers Cafe,Cafe,West Auckland,1.04,34.59,1501,328,11345.52,528,293,352,18263.52,10134.87,12175.68,0.212431895,0.353694221,0.3,8,2.36,830.72,4922.52,2445.01,1356.79,4451.99,0.28,0.45,0.25,0.3,51920.0,13176.0,0.2537750385208012,0.7,0.566126116,8.778078582434516,1561.04,8.32,0,0.5949246330811764,High Potential,Growth Leaders,Expand
Burgers,25886,Urban Burgers Bistro,Ghost Kitchen,South Auckland,1.05,35.87,1180,77,2761.99,496,276,331,17791.52,9900.12,11872.97,0.25488461,0.256033067,0.32,17,5.02,1661.62,1350.84,3008.23,1673.94,4145.24,0.07,0.45,0.25,0.3,42327.0,10178.0,0.2404611713563446,0.7,0.510917677,8.625342216552083,1239.0,17.85,0,1.1744974492524096,High Potential,Growth Leaders,Expand
Burgers,25133,Top Burgers Corner,Full-service,South Auckland,1.05,44.46,2051,636,28276.56,637,354,424,28321.02,15738.84,18851.04,0.386117483,0.498271016,0.27,12,3.54,1500.96,3269.1,-4372.44,-2429.9,678.44,0.45,0.45,0.25,0.3,91187.0,-2855.0,-0.0313092875080877,0.7,0.8843884989999999,-1.3920109226095827,2153.55,12.6,2,-0.2810993309758007,Low Potential,Aggregator-dependent Low Margin,Optimize
Burgers,25377,Lucky Burgers Bistro,Full-service,South Auckland,1.05,39.78,1449,442,17582.76,453,252,302,18020.34,10024.56,12013.56,0.380261697,0.519352306,0.28,4,1.18,356.36,1765.06,-3236.71,-1800.55,849.63,0.44,0.45,0.25,0.3,57641.0,-2423.0,-0.0420360507277805,0.7,0.899614003,-1.6721940979511112,1521.45,4.2,2,-0.7685404131600457,Low Potential,Aggregator-dependent Low Margin,Optimize
Burgers,25245,Lucky Burgers Cafe,QSR,North Shore,1.03,43.22,1634,294,12706.68,603,335,402,26061.66,14478.7,17374.44,0.241746065,0.40828571,0.32,3,0.89,357.78,4446.93,781.02,433.9,5722.72,0.22,0.45,0.25,0.3,70621.0,11385.0,0.1612126704521318,0.7,0.650031775,6.967611616941136,1683.02,3.09,0,-0.10333075879514653,Medium Potential,Growth Leaders,Expand
Burgers,25861,Classic Burgers Diner,Cafe,West Auckland,1.04,38.26,1934,490,18747.4,650,361,433,24869.0,13811.86,16566.58,0.236518039,0.380630135,0.28,13,3.84,1662.72,7177.48,2557.82,1420.58,4679.83,0.34,0.45,0.25,0.3,73995.0,15836.0,0.2140144604365159,0.7,0.617148174,8.188193256301101,2011.36,13.52,0,0.7497669245314424,High Potential,Growth Leaders,Expand
Burgers,25257,King Burgers Bistro,QSR,South Auckland,1.05,44.28,1873,350,15498.0,685,381,457,30331.8,16870.68,20235.96,0.216959699,0.412135698,0.3,9,2.66,1215.62,5748.28,2150.66,1196.21,6289.99,0.23,0.45,0.25,0.3,82936.0,15385.0,0.1855044853863219,0.7,0.629095397,8.214138612906337,1966.65,9.45,0,0.5809507534123685,High Potential,Growth Leaders,Expand
Burgers,25378,King Burgers Cafe,QSR,North Shore,1.03,37.56,1595,298,11192.88,584,324,389,21935.04,12169.44,14610.84,0.232022813,0.378713313,0.32,10,2.95,1147.55,4356.98,1519.31,842.9,4539.92,0.23,0.45,0.25,0.3,59908.0,11259.0,0.187938171863524,0.7,0.6107361259999999,7.058957735193965,1642.85,10.3,0,0.34564911513448177,High Potential,Growth Leaders,Expand
Burgers,26108,King Burgers House,Ghost Kitchen,North Shore,1.03,44.4,668,60,2664.0,274,152,182,12165.6,6748.8,8080.8,0.253680309,0.260938313,0.33,11,3.25,591.5,1293.06,1890.31,1048.64,3330.77,0.1,0.45,0.25,0.3,29659.0,7563.0,0.2549984827539701,0.7,0.514618622,11.321932634276274,688.04,11.33,1,0.7925394552995464,High Potential,Stable Local Performers,Hold/Stabilize
Burgers,25501,Classic Burgers Eatery,Cafe,South Auckland,1.05,39.67,1315,395,15669.65,414,230,276,16423.38,9124.1,10948.92,0.254867387,0.375745487,0.3,7,2.07,571.32,5788.17,1139.57,633.1,3473.07,0.43,0.45,0.25,0.3,52166.0,11034.0,0.2115170800904804,0.7,0.630612874,8.390882567189358,1380.75,7.35,0,0.5371276056039895,High Potential,Growth Leaders,Expand
Burgers,26230,Top Burgers Kitchen,Cafe,CBD,0.99,42.19,1387,374,15779.06,456,253,304,19238.64,10674.07,12825.76,0.207379126,0.384480269,0.3,15,4.43,1346.72,6440.08,2080.48,1154.3,3887.99,0.37,0.45,0.25,0.3,58518.0,13563.0,0.2317748385112273,0.7,0.591859395,9.77858043678868,1373.13,14.85,0,0.39987424811007466,High Potential,Growth Leaders,Expand
Burgers,26313,Classic Burgers Diner,Full-service,South Auckland,1.05,36.32,604,166,6029.12,197,110,131,7155.04,3995.2,4757.92,0.393435937,0.505011982,0.3,12,3.54,463.74,612.27,-1419.9,-792.84,19.44,0.38,0.45,0.25,0.3,21937.0,-1581.0,-0.0720700186898846,0.7,0.898447919,-2.617583078816611,634.2,12.6,2,-0.4417128687346423,Low Potential,Aggregator-dependent Low Margin,Optimize
Burgers,25775,Lucky Burgers Tavern,QSR,South Auckland,1.05,36.5,1366,273,9964.5,492,273,328,17958.0,9964.5,11972.0,0.202122342,0.395233107,0.29,3,0.89,291.92,4012.15,2022.87,1122.45,4528.54,0.25,0.45,0.25,0.3,49859.0,11686.0,0.2343809542911009,0.7,0.5973554489999999,8.554904831625183,1434.3,3.1500000000000004,0,0.37366243779564,High Potential,Growth Leaders,Expand
Burgers,26274,Urban Burgers Bistro,Cafe,West Auckland,1.04,43.42,1527,352,15283.84,529,294,352,22969.18,12765.48,15283.84,0.220944037,0.393518742,0.31,7,2.07,728.64,5892.49,1735.03,964.27,5163.85,0.3,0.45,0.25,0.3,66302.0,13756.0,0.2074748876353654,0.7,0.614462779,9.008559621127567,1588.0800000000002,7.28,0,0.44934473391924096,High Potential,Growth Leaders,Expand
Burgers,26100,Urban Burgers House,QSR,South Auckland,1.05,42.81,1119,216,9246.96,406,226,271,17380.86,9675.06,11601.51,0.232086843,0.351238824,0.32,6,1.77,479.67,3852.97,1680.28,935.33,4354.38,0.24,0.45,0.25,0.3,47904.0,10823.0,0.2259310287241148,0.7,0.583325667,9.67210733967936,1174.95,6.300000000000001,0,0.5861920024119638,High Potential,Growth Leaders,Expand
Burgers,25779,Classic Burgers Grill,Full-service,CBD,0.99,34.31,1833,642,22027.02,536,298,357,18390.16,10224.38,12248.67,0.366821484,0.451014979,0.28,5,1.48,528.36,4012.52,-1799.23,-1000.32,1702.9,0.54,0.45,0.25,0.3,62890.0,2916.0,0.0463666719669263,0.7,0.8178364629999999,1.590840515185244,1814.67,4.95,2,-1.0068120566713061,Low Potential,Aggregator-dependent Low Margin,Optimize
Burgers,26101,King Burgers Tavern,Full-service,CBD,0.99,32.18,597,164,5277.52,195,108,130,6275.1,3475.44,4183.4,0.378334257,0.516466749,0.33,18,5.31,690.3,555.19,-1410.65,-781.28,-250.21,0.38,0.45,0.25,0.3,19211.0,-1887.0,-0.0982249752745822,0.7,0.894801006,-3.160879704336057,591.03,17.82,2,-0.9137894455529031,Low Potential,Aggregator-dependent Low Margin,Optimize
Burgers,25053,King Burgers Tavern,Full-service,West Auckland,1.04,33.51,1661,499,16721.49,523,290,349,17525.73,9717.9,11694.99,0.396553314,0.485376675,0.28,12,3.54,1235.46,1974.31,-2837.94,-1573.62,145.37,0.43,0.45,0.25,0.3,55660.0,-2292.0,-0.0411785842615882,0.7,0.881929989,-1.379894358605821,1727.44,12.48,2,-0.4189812567214017,Low Potential,Aggregator-dependent Low Margin,Optimize
Burgers,25631,Classic Burgers Grill,Full-service,South Auckland,1.05,36.33,1499,525,19073.25,438,244,292,15912.54,8864.52,10608.36,0.372706735,0.524310494,0.28,12,3.54,1033.68,1964.22,-2816.79,-1569.17,58.8,0.54,0.45,0.25,0.3,54459.0,-2363.0,-0.0433904405148827,0.7,0.897017229,-1.5763747039056906,1573.95,12.6,2,-0.31853084715282814,Low Potential,Aggregator-dependent Low Margin,Optimize
